,title,price
0,Take A Chance With Sabimaraya,Rp 84.150
1,I'm In Law With You,Rp 84.150
2,Sepotong Senja untuk Pacarku (edisi 2022),Rp 72.000
3,Regret : Ginan & Nada,Rp 88.000
4,Sebelas Malam,Rp 88.000
5,Chezalova,Rp 98.000
6,Anjanu,Rp 94.000
7,"Anjing Mengeong, Kucing Menggonggong",Rp 159.000
8,Karacotah Rumah Teka-Teki,Rp 79.200
9,Iblis Menjelma Senapan Berburu,Rp 69.000
10,Teori Pernikahan Bahagia,Rp 89.000
11,Parnassus Keliling,Rp 55.250
12,Ada Zombie Di Sekolah,Rp 89.100
13,Hiranya dan Margonda,Rp 99.000
14,Misteri Asrama,Rp 99.000
15,Kamar 807,Rp 99.000
16,Bendung Kehilangan,Rp 70.000
17,Toko Buku Kucing Hitam,Rp 80.750
18,Cewek Problematik,Rp 99.000
19,14 Days Isabella,Rp 89.100
20,Toko Buku Abadi,Rp 76.500
21,Anjungan Losari,Rp 99.000
22,Sui Generis,Rp 99.000
23,Risalah Teh & Tiga Keluarga,Rp 75.000
24,Pulang Nak Ummi Rindu,Rp 89.100
25,Cinta Untuk Nala,Rp 99.000
26,"Bias, Obsesi",Rp 69.000
27,Yang Dihantui (She is Haunting),Rp 109.000
28,Sang Agen Rahasia,Rp 94.500
29,Toko Jajanan Ajaib Zenitendo 1,Rp 56.000
30,Arsena (New Cover),Rp 98.100
31,Aku Manusia Kamu Bukan Tuhan,Rp 70.400
32,A Long Journey But It's Still You,Rp 84.150
33,Athallah Al-Habibie,Rp 84.150
34,Rerasanan 1,Rp 72.000
35,Atharrazka 2 : Aryan,Rp 84.150
36,Rare,Rp 92.650
37,Bandung Menjelang Pagi,Rp 95.000
38,Akasha : The Skull Starts Moving In The Dark Night - Season 4,Rp 46.400
39,Cundrik,Rp 63.000
40,Akasha : The Skull Starts Moving In The Dark Night - Season 4,Rp 46.400
41,Cundrik,Rp 63.000
42,Love And Let Go New Cover,Rp 84.150
43,Hi Rafdy,Rp 85.500
44,Merelakan Sam (You've Reached Sam),Rp 79.200
45,Kitab Suci Kesatria Cahaya (Manual of the Warrior of the Light),Rp 47.200
46,Cerpen Pilihan Kompas 2014 Di Tubuh Tarra,Rp 85.500
47,Cerpen Pilihan Kompas 2013 Klub Solidaritas Suami Hilang,Rp 85.500
48,LiT: Efek Domino,Rp 84.000
49,Toko Jajanan Ajaib Zenitendo 2,Rp 56.000
50,Bek: Sebuah Novel,Rp 88.200
51,Ketos Galak,Rp 89.550
52,City Lite: Perhatikan Celah Peron,Rp 86.400
53,Secret High School,Rp 89.100
54,Yang Fana adalah Waktu,Rp 62.400
55,Agensi Rumah Tangga,Rp 71.200
56,"Princess, Bajak Laut & Alien",Rp 79.200
57,Masquerade Hotel,Rp 111.200
58,Toko Jajanan Ajaib Zenitendo 4,Rp 56.000
59,Sapaan Sang Giri : Sebuah Novel,Rp 112.500
60,The Ex-Talk,Rp 87.200
