,title,price
0,Bioskop Arwah,Rp 75.000
1,Perjalanan Mustahil Samiam dari Lisboa: Sepasang Elang dari Diyarbakir,Rp 71.200
2,Maktub,Rp 58.650
3,Baratayuda,Rp 140.000
4,Sarekat Bajing Kelon,Rp 65.000
5,MetroPop: Sejuta Waktu untuk Mencintaimu,Rp 109.000
6,Berburu NIP (Nomor Induk Pegawai),Rp 63.200
7,Gimana Kalau Ternyata Bukan Dia Orangnya?,Rp 79.000
8,"Anjing Mengeong, Kucing Menggonggong",Rp 127.200
9,We Free the Stars: Melepas Bintang,Rp 190.000
10,Sudut Tersepi Bumi,Rp 115.000
11,Kang Mak From Pee Mak,Rp 69.000
12,The Unlucky Bride,Rp 78.000
13,"Dunia Sophie, Novel Grafis Filsafat (Buku II)",Rp 135.000
14,Sweety Anatomi,Rp 109.000
15,Burung Berpagut Emas,Rp 105.000
16,Diary Bocah Tengil : Usaha Terakhir,Rp 85.000
17,The Lodger: Si Pembunuh di Tengah Malam,Rp 92.000
18,Bandung Menjelang Pagi,Rp 95.000
19,Sang Penyelaras Nada,Rp 55.200
20,Solo Leveling 6,Rp 92.000
21,A School Frozen in Time Book 2,Rp 92.000
22,Pesan Yang Datang Belakangan,Rp 99.000
23,7 Oktober : Matahari Di Ujung Rafah,Rp 88.000
24,Toko Jajanan Ajaib Zenitendo 3,Rp 56.000
25,Sapaan Sang Giri : Sebuah Novel,Rp 112.500
26,Backstreet Sama Ketua Bem,Rp 99.000
27,The Hidden Reality Chapter 2,Rp 99.000
28,Surat Untuk Jenaka,Rp 99.000
29,Trending Topic,Rp 71.200
30,The Case,Rp 99.000
31,"At Least I Met You, Dr. Jiru",Rp 99.000
32,After Edinburgh,Rp 99.000
33,LIT: The Second Fall,Rp 86.400
34,Take a Chance with Me,Rp 99.000
35,Jengki,Rp 112.500
36,Malam yang Menegangkan,Rp 112.500
37,K Si Pemalas,Rp 112.500
38,Apel Emas,Rp 112.500
39,Suku Penunggang Layang-layang,Rp 112.500
40,Rewrite The Stars,Rp 73.600
41,Rumah Tanpa Cahaya,Rp 99.000
42,Katanya Kembar,Rp 99.000
43,Buddha 2: Empat Perjumpaan,Rp 88.000
44,Buddha 1: Kapilawastu,Rp 88.000
45,Durarara Vol 3,Rp 98.000
46,Dona Dona,Rp 71.200
47,Misteri Perpustakaan yang Hilang (The Lost Library),Rp 69.000
48,The Atala,Rp 99.500
49,Elazel,Rp 99.000
50,Woke Up As a Villainess,Rp 99.000
51,Toko Jajanan Ajaib Zenitendo 2,Rp 56.000
52,"Waalaikumsalam, Cha Hongjin!",Rp 59.500
53,Did You Ever Love Somebody?,Rp 48.500
54,Kasus Pembunuhan Alvin Benson,Rp 115.000
55,Pertempuran dalam Lautan Bintang (To Sleep in a Sea of Stars #2),Rp 169.000
56,Lima Penyintas (Five Survive),Rp 109.000
57,Orang-Orang Proyek,Rp 63.200
58,Badan Intelejen Sekolah,Rp 99.000
59,Toki si Kelinci Bertopi,Rp 112.500
60,TeenLit: A Publicity Stunt,Rp 71.200
61,"Hei, Intern!",Rp 89.000
62,Bloom In Your Heart,Rp 89.100
63,Toko Buku Abadi,Rp 81.000
